Date,GPR_ARS,GPR_AUD,GPR_BRL,GPR_CAD,GPR_CHF,GPR_CLP,GPR_CNY,GPR_COP,GPR_DKK,GPR_EGP,GPR_GBP,GPR_HKD,GPR_HUF,GPR_IDR,GPR_INR,GPR_ILS,GPR_JPY,GPR_KRW,GPR_MXN,GPR_MYR,GPR_NOK,GPR_PEN,GPR_PHP,GPR_PLN,GPR_RUB,GPR_SAR,GPR_SEK,GPR_THB,GPR_TND,GPR_TRY,GPR_TWD,GPR_UAH,GPR_VEF,GPR_ZAR,,
1/1/85,0.09,0.06,0.05,0.41,0.11,0.03,0.28,0.03,0.02,0.08,0.50,0.01,0.06,0.01,0.17,0.36,0.13,0.10,0.07,0.01,0.08,0.04,0.03,0.09,1.41,0.05,0.08,0.25,0.01,0.05,0.03,0.01,0.01,0.16,,
2/1/85,0.03,0.35,0.02,0.45,0.06,0.06,0.18,0.06,0.04,0.11,0.55,0.05,0.01,0.06,0.11,0.63,0.25,0.12,0.09,0.05,0.06,0.06,0.09,0.18,1.37,0.12,0.10,0.16,0.03,0.02,0.01,0.01,0.05,0.08,,
3/1/85,0.08,0.12,0.02,0.59,0.20,0.09,0.11,0.06,0.06,0.17,0.63,0.02,0.02,0.02,0.25,0.56,0.20,0.06,0.11,0.01,0.02,0.07,0.02,0.07,1.51,0.06,0.02,0.15,0.04,0.24,0.00,0.03,0.04,0.15,,
4/1/85,0.03,0.07,0.03,0.34,0.02,0.05,0.20,0.14,0.00,0.12,0.26,0.02,0.05,0.03,0.16,0.42,0.13,0.07,0.16,0.00,0.05,0.08,0.05,0.12,0.91,0.10,0.03,0.05,0.00,0.12,0.02,0.03,0.12,0.14,,
5/1/85,0.07,0.04,0.07,0.43,0.06,0.05,0.13,0.09,0.04,0.04,0.35,0.01,0.01,0.01,0.25,0.41,0.17,0.08,0.17,0.01,0.05,0.04,0.03,0.13,1.16,0.09,0.08,0.06,0.02,0.02,0.01,0.01,0.11,0.16,,
6/1/85,0.02,0.03,0.04,0.50,0.23,0.04,0.12,0.06,0.02,0.20,0.59,0.01,0.02,0.01,0.52,1.38,0.23,0.12,0.18,0.02,0.05,0.03,0.04,0.10,1.24,0.09,0.07,0.02,0.05,0.07,0.02,0.01,0.05,0.26,,
7/1/85,0.03,0.15,0.06,0.52,0.06,0.03,0.15,0.02,0.07,0.10,0.75,0.01,0.03,0.03,0.59,0.93,0.32,0.21,0.05,0.04,0.03,0.03,0.11,0.06,1.08,0.13,0.07,0.07,0.03,0.13,0.02,0.01,0.03,0.39,,
8/1/85,0.05,0.13,0.06,0.42,0.10,0.03,0.13,0.03,0.01,0.06,0.42,0.03,0.02,0.01,0.43,0.29,0.17,0.05,0.05,0.02,0.03,0.05,0.06,0.03,0.73,0.03,0.05,0.07,0.03,0.04,0.03,0.02,0.02,0.41,,
9/1/85,0.04,0.14,0.08,0.31,0.02,0.01,0.11,0.03,0.07,0.09,0.56,0.03,0.02,0.02,0.33,0.29,0.25,0.08,0.17,0.02,0.06,0.06,0.02,0.06,0.89,0.10,0.05,0.06,0.00,0.04,0.04,0.00,0.02,0.61,,
10/1/85,0.06,0.13,0.07,0.26,0.13,0.04,0.12,0.00,0.03,0.72,0.69,0.01,0.02,0.00,0.16,1.16,0.19,0.08,0.07,0.01,0.07,0.04,0.14,0.11,1.24,0.10,0.04,0.04,0.68,0.07,0.03,0.01,0.01,0.33,,
